date,return_transaction_id,user_id,sku,product_name,size,colour,parent_order_number,region
2024-10-05,RET00000200,USER000838,LM-SOK-006,Muscle Soak Salts,200ml,Unscented,TXN00001147,EU
2024-10-05,RET00000358,USER001526,LM-SPF-002,SPF 50 Face Stick,50ml,Citrus Energy,TXN00002086,EU
2024-10-06,RET00000085,USER000380,LM-SPF-002,SPF 50 Face Stick,200ml,Lavender Calm,TXN00000511,EU
2024-10-06,RET00000139,USER000607,LM-ROL-012,Aromatherapy Roller,200ml,Lavender Calm,TXN00000836,EU
2024-10-06,RET00000194,USER000805,LM-SPF-002,SPF 50 Face Stick,50ml,Citrus Energy,TXN00001102,EU
2024-10-06,RET00000404,USER001723,LM-KIT-009,PMS Comfort Kit,100ml,Rose Comfort,TXN00002346,NA
2024-10-06,RET00000443,USER001900,LM-JRN-011,Movement Journal,50ml,Rose Comfort,TXN00002603,EU
2024-10-07,RET00000299,USER001291,LM-MST-005,Cooling Mist Spray,50ml,Citrus Energy,TXN00001760,NA
2024-10-07,RET00000438,USER001871,LM-SPF-002,SPF 50 Face Stick,50ml,Lavender Calm,TXN00002565,NA
2024-10-07,RET00000446,USER001911,LM-SOK-006,Muscle Soak Salts,Standard,Eucalyptus Fresh,TXN00002616,EU
2024-10-08,RET00000187,USER000784,LM-DEO-001,Clean Deodorant Stick,Standard,Lavender Calm,TXN00001072,EU
2024-10-08,RET00000209,USER000906,LM-OIL-008,Warming Body Oil,100ml,Citrus Energy,TXN00001237,EU
2024-10-08,RET00000573,USER002494,LM-OIL-008,Warming Body Oil,Standard,Citrus Energy,TXN00003449,NA
2024-10-09,RET00000122,USER000538,LM-SPF-002,SPF 50 Face Stick,50ml,Citrus Energy,TXN00000738,EU
2024-10-09,RET00000287,USER001232,LM-MST-005,Cooling Mist Spray,100ml,Lavender Calm,TXN00001688,EU
2024-10-09,RET00000308,USER001310,LM-CLO-003,Cleansing Body Cloths,Travel Size,Lavender Calm,TXN00001787,NA
2024-10-09,RET00000405,USER001724,LM-CLO-003,Cleansing Body Cloths,Standard,Citrus Energy,TXN00002348,NA
2024-10-09,RET00000409,USER001744,LM-MST-005,Cooling Mist Spray,Travel Size,Rose Comfort,TXN00002376,NA
2024-10-09,RET00000498,USER002141,LM-CAN-010,Ritual Grounding Candle,50ml,Lavender Calm,TXN00002961,NA
2024-10-10,RET00000300,USER001293,LM-KIT-009,PMS Comfort Kit,Travel Size,Citrus Energy,TXN00001762,NA
2024-10-10,RET00000428,USER001819,LM-CLO-003,Cleansing Body Cloths,50ml,Lavender Calm,TXN00002485,EU
2024-10-10,RET00000485,USER002074,LM-CAN-010,Ritual Grounding Candle,Travel Size,Unscented,TXN00002866,NA
2024-10-11,RET00000036,USER000181,LM-JRN-011,Movement Journal,Standard,Lavender Calm,TXN00000242,NA
2024-10-11,RET00000063,USER000275,LM-DEO-001,Clean Deodorant Stick,Travel Size,Eucalyptus Fresh,TXN00000369,NA
2024-10-11,RET00000156,USER000663,LM-OIL-008,Warming Body Oil,50ml,Citrus Energy,TXN00000913,NA
2024-10-11,RET00000241,USER001035,LM-KIT-009,PMS Comfort Kit,50ml,Lavender Calm,TXN00001414,NA
2024-10-11,RET00000266,USER001133,LM-KIT-009,PMS Comfort Kit,100ml,Lavender Calm,TXN00001555,NA
2024-10-11,RET00000326,USER001378,LM-SOK-006,Muscle Soak Salts,Standard,Lavender Calm,TXN00001881,EU
2024-10-11,RET00000552,USER002402,LM-CAN-010,Ritual Grounding Candle,50ml,Lavender Calm,TXN00003326,EU
2024-10-12,RET00000028,USER000144,LM-MAG-004,Magnesium Recovery Balm,200ml,Citrus Energy,TXN00000191,EU
2024-10-12,RET00000131,USER000583,LM-CLO-003,Cleansing Body Cloths,100ml,Rose Comfort,TXN00000799,NA
2024-10-12,RET00000184,USER000776,LM-OIL-008,Warming Body Oil,200ml,Lavender Calm,TXN00001060,EU
2024-10-12,RET00000271,USER001167,LM-KIT-009,PMS Comfort Kit,100ml,Lavender Calm,TXN00001600,EU
2024-10-12,RET00000371,USER001568,LM-JRN-011,Movement Journal,Standard,Citrus Energy,TXN00002147,NA
2024-10-12,RET00000374,USER001576,LM-OIL-008,Warming Body Oil,Standard,Unscented,TXN00002157,EU
2024-10-12,RET00000563,USER002467,LM-JRN-011,Movement Journal,200ml,Lavender Calm,TXN00003411,EU
2024-10-13,RET00000002,USER000005,LM-OIL-008,Warming Body Oil,50ml,Eucalyptus Fresh,TXN00000009,EU
2024-10-13,RET00000037,USER000202,LM-MAG-004,Magnesium Recovery Balm,100ml,Eucalyptus Fresh,TXN00000266,NA
2024-10-13,RET00000060,USER000261,LM-WSH-007,Adaptogen Body Wash,200ml,Citrus Energy,TXN00000351,NA
2024-10-13,RET00000100,USER000449,LM-DEO-001,Clean Deodorant Stick,100ml,Citrus Energy,TXN00000609,NA
2024-10-13,RET00000183,USER000773,LM-WSH-007,Adaptogen Body Wash,Standard,Citrus Energy,TXN00001056,NA
2024-10-14,RET00000162,USER000696,LM-WSH-007,Adaptogen Body Wash,Standard,Eucalyptus Fresh,TXN00000954,EU
2024-10-14,RET00000224,USER000967,LM-CLO-003,Cleansing Body Cloths,50ml,Rose Comfort,TXN00001321,NA
2024-10-14,RET00000327,USER001385,LM-MST-005,Cooling Mist Spray,50ml,Rose Comfort,TXN00001890,NA
2024-10-14,RET00000484,USER002064,LM-MST-005,Cooling Mist Spray,200ml,Unscented,TXN00002850,EU
2024-10-15,RET00000176,USER000748,LM-DEO-001,Clean Deodorant Stick,100ml,Citrus Energy,TXN00001023,EU
2024-10-15,RET00000336,USER001422,LM-DEO-001,Clean Deodorant Stick,Standard,Rose Comfort,TXN00001946,EU
2024-10-15,RET00000350,USER001481,LM-WSH-007,Adaptogen Body Wash,Travel Size,Eucalyptus Fresh,TXN00002026,NA
2024-10-15,RET00000396,USER001663,LM-JRN-011,Movement Journal,100ml,Lavender Calm,TXN00002274,EU
2024-10-15,RET00000449,USER001924,LM-MAG-004,Magnesium Recovery Balm,Travel Size,Rose Comfort,TXN00002635,NA
2024-10-15,RET00000482,USER002055,LM-JRN-011,Movement Journal,200ml,Citrus Energy,TXN00002834,EU
2024-10-15,RET00000566,USER002474,LM-MST-005,Cooling Mist Spray,50ml,Rose Comfort,TXN00003422,EU
2024-10-16,RET00000050,USER000231,LM-ROL-012,Aromatherapy Roller,200ml,Unscented,TXN00000305,EU
2024-10-16,RET00000111,USER000498,LM-DEO-001,Clean Deodorant Stick,100ml,Unscented,TXN00000677,NA
2024-10-16,RET00000365,USER001555,LM-MAG-004,Magnesium Recovery Balm,Standard,Citrus Energy,TXN00002126,NA
2024-10-16,RET00000379,USER001597,LM-OIL-008,Warming Body Oil,50ml,Lavender Calm,TXN00002184,EU
2024-10-16,RET00000472,USER002002,LM-CLO-003,Cleansing Body Cloths,Travel Size,Unscented,TXN00002752,NA
2024-10-17,RET00000057,USER000255,LM-CAN-010,Ritual Grounding Candle,100ml,Citrus Energy,TXN00000341,NA
2024-10-17,RET00000151,USER000652,LM-ROL-012,Aromatherapy Roller,Travel Size,Unscented,TXN00000898,NA
2024-10-17,RET00000175,USER000747,LM-SPF-002,SPF 50 Face Stick,Standard,Citrus Energy,TXN00001021,NA
2024-10-17,RET00000268,USER001150,LM-MAG-004,Magnesium Recovery Balm,200ml,Unscented,TXN00001578,EU
2024-10-17,RET00000408,USER001743,LM-WSH-007,Adaptogen Body Wash,200ml,Unscented,TXN00002373,NA
2024-10-17,RET00000448,USER001923,LM-SPF-002,SPF 50 Face Stick,100ml,Lavender Calm,TXN00002633,EU
2024-10-17,RET00000455,USER001944,LM-CLO-003,Cleansing Body Cloths,100ml,Lavender Calm,TXN00002662,EU
2024-10-17,RET00000468,USER001992,LM-JRN-011,Movement Journal,50ml,Eucalyptus Fresh,TXN00002734,NA
2024-10-18,RET00000284,USER001211,LM-DEO-001,Clean Deodorant Stick,200ml,Rose Comfort,TXN00001660,EU
2024-10-18,RET00000346,USER001460,LM-DEO-001,Clean Deodorant Stick,Travel Size,Rose Comfort,TXN00002000,NA
2024-10-18,RET00000400,USER001700,LM-CLO-003,Cleansing Body Cloths,200ml,Rose Comfort,TXN00002317,NA
2024-10-18,RET00000505,USER002177,LM-ROL-012,Aromatherapy Roller,100ml,Citrus Energy,TXN00003007,NA
2024-10-19,RET00000055,USER000244,LM-OIL-008,Warming Body Oil,100ml,Citrus Energy,TXN00000324,NA
2024-10-19,RET00000353,USER001505,LM-DEO-001,Clean Deodorant Stick,200ml,Lavender Calm,TXN00002058,NA
2024-10-19,RET00000361,USER001532,LM-CLO-003,Cleansing Body Cloths,100ml,Unscented,TXN00002093,EU
2024-10-19,RET00000386,USER001639,LM-WSH-007,Adaptogen Body Wash,100ml,Eucalyptus Fresh,TXN00002241,EU
2024-10-19,RET00000474,USER002016,LM-WSH-007,Adaptogen Body Wash,Standard,Rose Comfort,TXN00002772,NA
2024-10-19,RET00000492,USER002111,LM-OIL-008,Warming Body Oil,Standard,Unscented,TXN00002916,EU
2024-10-19,RET00000541,USER002319,LM-CLO-003,Cleansing Body Cloths,100ml,Citrus Energy,TXN00003213,EU
2024-10-20,RET00000107,USER000486,LM-SOK-006,Muscle Soak Salts,Travel Size,Citrus Energy,TXN00000663,EU
2024-10-20,RET00000146,USER000636,LM-CLO-003,Cleansing Body Cloths,100ml,Unscented,TXN00000873,NA
2024-10-20,RET00000424,USER001806,LM-CAN-010,Ritual Grounding Candle,100ml,Citrus Energy,TXN00002464,EU
2024-10-20,RET00000568,USER002478,LM-DEO-001,Clean Deodorant Stick,Standard,Unscented,TXN00003426,EU
2024-10-21,RET00000137,USER000599,LM-DEO-001,Clean Deodorant Stick,100ml,Rose Comfort,TXN00000823,EU
2024-10-21,RET00000186,USER000780,LM-DEO-001,Clean Deodorant Stick,100ml,Lavender Calm,TXN00001066,NA
2024-10-21,RET00000217,USER000945,LM-WSH-007,Adaptogen Body Wash,100ml,Unscented,TXN00001290,EU
2024-10-21,RET00000298,USER001286,LM-OIL-008,Warming Body Oil,Standard,Citrus Energy,TXN00001753,NA
2024-10-22,RET00000080,USER000368,LM-SPF-002,SPF 50 Face Stick,50ml,Rose Comfort,TXN00000492,EU
2024-10-22,RET00000377,USER001595,LM-DEO-001,Clean Deodorant Stick,200ml,Lavender Calm,TXN00002180,NA
2024-10-22,RET00000391,USER001652,LM-JRN-011,Movement Journal,100ml,Unscented,TXN00002259,EU
2024-10-22,RET00000525,USER002252,LM-CAN-010,Ritual Grounding Candle,Travel Size,Rose Comfort,TXN00003112,NA
2024-10-22,RET00000567,USER002476,LM-JRN-011,Movement Journal,Travel Size,Citrus Energy,TXN00003424,EU
2024-10-23,RET00000083,USER000377,LM-SOK-006,Muscle Soak Salts,Standard,Lavender Calm,TXN00000506,EU
2024-10-23,RET00000093,USER000415,LM-KIT-009,PMS Comfort Kit,50ml,Rose Comfort,TXN00000557,EU
2024-10-23,RET00000121,USER000531,LM-CLO-003,Cleansing Body Cloths,50ml,Lavender Calm,TXN00000727,EU
2024-10-23,RET00000191,USER000797,LM-JRN-011,Movement Journal,50ml,Unscented,TXN00001092,EU
2024-10-23,RET00000303,USER001298,LM-ROL-012,Aromatherapy Roller,200ml,Citrus Energy,TXN00001770,EU
2024-10-23,RET00000334,USER001419,LM-MST-005,Cooling Mist Spray,Travel Size,Eucalyptus Fresh,TXN00001938,NA
2024-10-23,RET00000387,USER001641,LM-KIT-009,PMS Comfort Kit,100ml,Unscented,TXN00002243,NA
2024-10-23,RET00000414,USER001757,LM-OIL-008,Warming Body Oil,Travel Size,Citrus Energy,TXN00002396,EU
2024-10-23,RET00000561,USER002455,LM-ROL-012,Aromatherapy Roller,Standard,Citrus Energy,TXN00003398,EU
2024-10-24,RET00000395,USER001661,LM-CLO-003,Cleansing Body Cloths,Standard,Rose Comfort,TXN00002272,EU
2024-10-24,RET00000532,USER002275,LM-MAG-004,Magnesium Recovery Balm,Travel Size,Eucalyptus Fresh,TXN00003148,NA
2024-10-25,RET00000006,USER000027,LM-CLO-003,Cleansing Body Cloths,200ml,Rose Comfort,TXN00000040,EU
2024-10-25,RET00000259,USER001105,LM-OIL-008,Warming Body Oil,200ml,Citrus Energy,TXN00001516,EU
2024-10-25,RET00000267,USER001138,LM-CLO-003,Cleansing Body Cloths,50ml,Eucalyptus Fresh,TXN00001562,NA
2024-10-26,RET00000205,USER000874,LM-OIL-008,Warming Body Oil,Travel Size,Rose Comfort,TXN00001197,NA
2024-10-26,RET00000253,USER001080,LM-CLO-003,Cleansing Body Cloths,Travel Size,Eucalyptus Fresh,TXN00001482,NA
2024-10-26,RET00000270,USER001164,LM-DEO-001,Clean Deodorant Stick,Standard,Unscented,TXN00001596,EU
2024-10-26,RET00000280,USER001198,LM-SPF-002,SPF 50 Face Stick,Travel Size,Unscented,TXN00001641,NA
2024-10-26,RET00000366,USER001556,LM-OIL-008,Warming Body Oil,200ml,Unscented,TXN00002129,NA
2024-10-27,RET00000269,USER001151,LM-CLO-003,Cleansing Body Cloths,Standard,Rose Comfort,TXN00001581,NA
2024-10-27,RET00000288,USER001233,LM-WSH-007,Adaptogen Body Wash,100ml,Lavender Calm,TXN00001689,EU
2024-10-27,RET00000320,USER001354,LM-KIT-009,PMS Comfort Kit,100ml,Unscented,TXN00001845,NA
2024-10-27,RET00000355,USER001517,LM-JRN-011,Movement Journal,100ml,Rose Comfort,TXN00002076,EU
2024-10-27,RET00000399,USER001695,LM-SOK-006,Muscle Soak Salts,50ml,Rose Comfort,TXN00002309,EU
2024-10-28,RET00000234,USER001001,LM-CLO-003,Cleansing Body Cloths,200ml,Unscented,TXN00001366,EU
2024-10-28,RET00000296,USER001272,LM-WSH-007,Adaptogen Body Wash,Travel Size,Eucalyptus Fresh,TXN00001735,EU
2024-10-28,RET00000406,USER001725,LM-MAG-004,Magnesium Recovery Balm,50ml,Citrus Energy,TXN00002350,NA
2024-10-29,RET00000043,USER000215,LM-ROL-012,Aromatherapy Roller,50ml,Citrus Energy,TXN00000283,EU
2024-10-29,RET00000045,USER000217,LM-CAN-010,Ritual Grounding Candle,100ml,Unscented,TXN00000286,NA
2024-10-29,RET00000110,USER000498,LM-SOK-006,Muscle Soak Salts,Standard,Eucalyptus Fresh,TXN00000676,NA
2024-10-29,RET00000125,USER000553,LM-MAG-004,Magnesium Recovery Balm,100ml,Lavender Calm,TXN00000758,EU
2024-10-29,RET00000293,USER001263,LM-MAG-004,Magnesium Recovery Balm,Travel Size,Rose Comfort,TXN00001725,EU
2024-10-29,RET00000564,USER002470,LM-JRN-011,Movement Journal,100ml,Unscented,TXN00003416,NA
2024-10-30,RET00000239,USER001025,LM-JRN-011,Movement Journal,Travel Size,Lavender Calm,TXN00001400,EU
2024-10-30,RET00000330,USER001390,LM-DEO-001,Clean Deodorant Stick,Standard,Rose Comfort,TXN00001897,NA
2024-10-31,RET00000180,USER000765,LM-ROL-012,Aromatherapy Roller,50ml,Unscented,TXN00001046,EU
2024-10-31,RET00000432,USER001842,LM-ROL-012,Aromatherapy Roller,Travel Size,Lavender Calm,TXN00002519,EU
2024-10-31,RET00000477,USER002027,LM-MAG-004,Magnesium Recovery Balm,Standard,Eucalyptus Fresh,TXN00002790,EU
2024-11-01,RET00000088,USER000392,LM-ROL-012,Aromatherapy Roller,Standard,Unscented,TXN00000524,EU
2024-11-02,RET00000010,USER000052,LM-KIT-009,PMS Comfort Kit,200ml,Rose Comfort,TXN00000069,NA
2024-11-02,RET00000128,USER000562,LM-KIT-009,PMS Comfort Kit,Standard,Rose Comfort,TXN00000771,NA
2024-11-02,RET00000140,USER000611,LM-WSH-007,Adaptogen Body Wash,100ml,Unscented,TXN00000840,NA
2024-11-02,RET00000340,USER001435,LM-KIT-009,PMS Comfort Kit,Travel Size,Unscented,TXN00001963,NA
2024-11-02,RET00000427,USER001817,LM-SPF-002,SPF 50 Face Stick,50ml,Eucalyptus Fresh,TXN00002483,NA
2024-11-02,RET00000549,USER002369,LM-CAN-010,Ritual Grounding Candle,100ml,Citrus Energy,TXN00003285,EU
2024-11-03,RET00000047,USER000219,LM-SOK-006,Muscle Soak Salts,200ml,Citrus Energy,TXN00000291,NA
2024-11-04,RET00000021,USER000112,LM-DEO-001,Clean Deodorant Stick,Travel Size,Eucalyptus Fresh,TXN00000150,EU
2024-11-04,RET00000087,USER000388,LM-MST-005,Cooling Mist Spray,200ml,Citrus Energy,TXN00000519,EU
2024-11-04,RET00000248,USER001068,LM-MST-005,Cooling Mist Spray,100ml,Rose Comfort,TXN00001465,NA
2024-11-04,RET00000309,USER001315,LM-SOK-006,Muscle Soak Salts,200ml,Citrus Energy,TXN00001794,EU
2024-11-04,RET00000333,USER001407,LM-CAN-010,Ritual Grounding Candle,Standard,Unscented,TXN00001920,NA
2024-11-04,RET00000535,USER002303,LM-WSH-007,Adaptogen Body Wash,50ml,Unscented,TXN00003188,EU
2024-11-05,RET00000178,USER000752,LM-JRN-011,Movement Journal,Standard,Rose Comfort,TXN00001027,NA
2024-11-05,RET00000189,USER000789,LM-CLO-003,Cleansing Body Cloths,Standard,Eucalyptus Fresh,TXN00001080,EU
2024-11-05,RET00000349,USER001478,LM-CAN-010,Ritual Grounding Candle,50ml,Rose Comfort,TXN00002022,NA
2024-11-05,RET00000416,USER001762,LM-OIL-008,Warming Body Oil,Standard,Eucalyptus Fresh,TXN00002405,NA
2024-11-06,RET00000351,USER001485,LM-CLO-003,Cleansing Body Cloths,Standard,Citrus Energy,TXN00002031,EU
2024-11-06,RET00000423,USER001805,LM-DEO-001,Clean Deodorant Stick,100ml,Citrus Energy,TXN00002463,NA
2024-11-07,RET00000027,USER000143,LM-ROL-012,Aromatherapy Roller,Standard,Lavender Calm,TXN00000190,EU
2024-11-07,RET00000065,USER000282,LM-MAG-004,Magnesium Recovery Balm,50ml,Lavender Calm,TXN00000378,EU
2024-11-07,RET00000124,USER000549,LM-SOK-006,Muscle Soak Salts,Standard,Eucalyptus Fresh,TXN00000753,EU
2024-11-07,RET00000347,USER001467,LM-KIT-009,PMS Comfort Kit,Standard,Rose Comfort,TXN00002008,EU
2024-11-07,RET00000434,USER001858,LM-SOK-006,Muscle Soak Salts,100ml,Lavender Calm,TXN00002544,NA
2024-11-08,RET00000170,USER000719,LM-MAG-004,Magnesium Recovery Balm,50ml,Unscented,TXN00000984,EU
2024-11-08,RET00000208,USER000901,LM-MAG-004,Magnesium Recovery Balm,200ml,Lavender Calm,TXN00001232,NA
2024-11-08,RET00000255,USER001095,LM-JRN-011,Movement Journal,Travel Size,Unscented,TXN00001499,EU
2024-11-08,RET00000375,USER001577,LM-JRN-011,Movement Journal,Standard,Unscented,TXN00002159,EU
2024-11-08,RET00000534,USER002299,LM-KIT-009,PMS Comfort Kit,200ml,Eucalyptus Fresh,TXN00003183,EU
2024-11-09,RET00000126,USER000559,LM-MAG-004,Magnesium Recovery Balm,200ml,Lavender Calm,TXN00000766,NA
2024-11-09,RET00000223,USER000961,LM-SOK-006,Muscle Soak Salts,50ml,Rose Comfort,TXN00001313,NA
2024-11-09,RET00000420,USER001790,LM-OIL-008,Warming Body Oil,100ml,Unscented,TXN00002445,EU
2024-11-09,RET00000489,USER002100,LM-CLO-003,Cleansing Body Cloths,200ml,Lavender Calm,TXN00002901,NA
2024-11-09,RET00000513,USER002203,LM-KIT-009,PMS Comfort Kit,100ml,Unscented,TXN00003041,NA
2024-11-10,RET00000157,USER000670,LM-KIT-009,PMS Comfort Kit,Travel Size,Citrus Energy,TXN00000923,EU
2024-11-10,RET00000393,USER001659,LM-CAN-010,Ritual Grounding Candle,Travel Size,Lavender Calm,TXN00002270,NA
2024-11-11,RET00000229,USER000985,LM-WSH-007,Adaptogen Body Wash,Travel Size,Citrus Energy,TXN00001347,EU
2024-11-11,RET00000272,USER001171,LM-DEO-001,Clean Deodorant Stick,200ml,Lavender Calm,TXN00001605,NA
2024-11-11,RET00000315,USER001333,LM-SPF-002,SPF 50 Face Stick,Travel Size,Citrus Energy,TXN00001818,EU
2024-11-11,RET00000321,USER001359,LM-CLO-003,Cleansing Body Cloths,100ml,Lavender Calm,TXN00001851,NA
2024-11-11,RET00000342,USER001436,LM-WSH-007,Adaptogen Body Wash,Standard,Eucalyptus Fresh,TXN00001966,NA
2024-11-11,RET00000369,USER001564,LM-CLO-003,Cleansing Body Cloths,50ml,Rose Comfort,TXN00002141,EU
2024-11-11,RET00000459,USER001956,LM-SOK-006,Muscle Soak Salts,200ml,Unscented,TXN00002682,EU
2024-11-12,RET00000094,USER000421,LM-CLO-003,Cleansing Body Cloths,100ml,Lavender Calm,TXN00000564,NA
2024-11-12,RET00000103,USER000460,LM-CAN-010,Ritual Grounding Candle,100ml,Citrus Energy,TXN00000624,EU
2024-11-12,RET00000341,USER001435,LM-SOK-006,Muscle Soak Salts,100ml,Lavender Calm,TXN00001965,NA
2024-11-12,RET00000363,USER001540,LM-JRN-011,Movement Journal,Standard,Unscented,TXN00002105,NA
2024-11-12,RET00000496,USER002124,LM-DEO-001,Clean Deodorant Stick,200ml,Citrus Energy,TXN00002935,NA
2024-11-13,RET00000009,USER000045,LM-CAN-010,Ritual Grounding Candle,200ml,Eucalyptus Fresh,TXN00000062,NA
2024-11-13,RET00000042,USER000214,LM-CLO-003,Cleansing Body Cloths,100ml,Unscented,TXN00000282,EU
2024-11-13,RET00000551,USER002396,LM-MST-005,Cooling Mist Spray,100ml,Unscented,TXN00003319,EU
2024-11-14,RET00000204,USER000870,LM-CAN-010,Ritual Grounding Candle,200ml,Eucalyptus Fresh,TXN00001192,NA
2024-11-14,RET00000275,USER001177,LM-SPF-002,SPF 50 Face Stick,200ml,Lavender Calm,TXN00001615,NA
2024-11-14,RET00000285,USER001212,LM-ROL-012,Aromatherapy Roller,50ml,Unscented,TXN00001661,NA
2024-11-14,RET00000508,USER002192,LM-MAG-004,Magnesium Recovery Balm,200ml,Eucalyptus Fresh,TXN00003027,EU
2024-11-14,RET00000514,USER002209,LM-KIT-009,PMS Comfort Kit,200ml,Lavender Calm,TXN00003052,EU
2024-11-15,RET00000136,USER000594,LM-MST-005,Cooling Mist Spray,100ml,Lavender Calm,TXN00000815,EU
2024-11-15,RET00000260,USER001106,LM-KIT-009,PMS Comfort Kit,Travel Size,Unscented,TXN00001517,EU
2024-11-15,RET00000311,USER001324,LM-MST-005,Cooling Mist Spray,50ml,Lavender Calm,TXN00001805,NA
2024-11-15,RET00000411,USER001750,LM-CLO-003,Cleansing Body Cloths,50ml,Rose Comfort,TXN00002385,NA
