sales_date,transaction_id,user_id,sku,product_name,size,colour,amount,store_id,region,original_transaction_id,transaction_type
2024-10-05,RET00000531,USER002272,LM-WSH-007,Adaptogen Body Wash,Standard,Unscented,36,STUDIO044,NA,RTXN00003142,return
2024-10-06,RET00000332,USER001404,LM-ROL-012,Aromatherapy Roller,100ml,Lavender Calm,22,STUDIO016,NA,RTXN00001915,return
2024-10-06,RET00000481,USER002040,LM-KIT-009,PMS Comfort Kit,Standard,Unscented,65,STUDIO034,NA,RTXN00002813,return
2024-10-07,RET00000181,USER000766,LM-MST-005,Cooling Mist Spray,100ml,Lavender Calm,26,STUDIO003,NA,RTXN00001048,return
2024-10-08,RET00000252,USER001074,LM-KIT-009,PMS Comfort Kit,Standard,Rose Comfort,65,STUDIO032,EU,RTXN00001474,return
2024-10-08,RET00000413,USER001756,LM-ROL-012,Aromatherapy Roller,50ml,Rose Comfort,22,STUDIO026,EU,RTXN00002393,return
2024-10-08,RET00000509,USER002197,LM-CLO-003,Cleansing Body Cloths,200ml,Citrus Energy,18,STUDIO049,NA,RTXN00003033,return
2024-10-09,RET00000073,USER000318,LM-KIT-009,PMS Comfort Kit,Travel Size,Citrus Energy,65,STUDIO046,NA,RTXN00000426,return
2024-10-09,RET00000177,USER000750,LM-CLO-003,Cleansing Body Cloths,Travel Size,Citrus Energy,18,STUDIO047,NA,RTXN00001025,return
2024-10-09,RET00000182,USER000769,LM-OIL-008,Warming Body Oil,Standard,Citrus Energy,48,STUDIO027,NA,RTXN00001051,return
2024-10-09,RET00000444,USER001907,LM-WSH-007,Adaptogen Body Wash,50ml,Lavender Calm,36,STUDIO032,NA,RTXN00002610,return
2024-10-10,RET00000101,USER000455,LM-JRN-011,Movement Journal,Travel Size,Unscented,24,STUDIO037,EU,RTXN00000617,return
2024-10-10,RET00000281,USER001199,LM-KIT-009,PMS Comfort Kit,Standard,Eucalyptus Fresh,65,STUDIO027,NA,RTXN00001642,return
2024-10-10,RET00000437,USER001870,LM-SOK-006,Muscle Soak Salts,50ml,Citrus Energy,32,STUDIO039,EU,RTXN00002564,return
2024-10-10,RET00000471,USER002001,LM-ROL-012,Aromatherapy Roller,Standard,Citrus Energy,22,STUDIO029,NA,RTXN00002750,return
2024-10-11,RET00000524,USER002252,LM-CLO-003,Cleansing Body Cloths,100ml,Unscented,18,STUDIO019,NA,RTXN00003111,return
2024-10-12,RET00000225,USER000968,LM-CLO-003,Cleansing Body Cloths,Travel Size,Rose Comfort,18,STUDIO008,NA,RTXN00001323,return
2024-10-12,RET00000555,USER002422,LM-SOK-006,Muscle Soak Salts,50ml,Unscented,32,STUDIO002,EU,RTXN00003355,return
2024-10-13,RET00000277,USER001181,LM-MST-005,Cooling Mist Spray,50ml,Unscented,26,STUDIO005,EU,RTXN00001620,return
2024-10-14,RET00000089,USER000398,LM-OIL-008,Warming Body Oil,100ml,Citrus Energy,48,STUDIO025,NA,RTXN00000534,return
2024-10-14,RET00000221,USER000956,LM-CLO-003,Cleansing Body Cloths,50ml,Eucalyptus Fresh,18,STUDIO021,EU,RTXN00001308,return
2024-10-14,RET00000412,USER001750,LM-CAN-010,Ritual Grounding Candle,50ml,Rose Comfort,38,STUDIO050,NA,RTXN00002386,return
2024-10-14,RET00000463,USER001973,LM-MAG-004,Magnesium Recovery Balm,100ml,Unscented,42,STUDIO030,EU,RTXN00002705,return
2024-10-15,RET00000159,USER000674,LM-MST-005,Cooling Mist Spray,200ml,Eucalyptus Fresh,26,STUDIO018,EU,RTXN00000929,return
2024-10-16,RET00000418,USER001770,LM-MST-005,Cooling Mist Spray,100ml,Citrus Energy,26,STUDIO005,EU,RTXN00002415,return
2024-10-17,RET00000064,USER000277,LM-MST-005,Cooling Mist Spray,200ml,Eucalyptus Fresh,26,STUDIO043,EU,RTXN00000372,return
2024-10-17,RET00000499,USER002143,LM-MAG-004,Magnesium Recovery Balm,Standard,Rose Comfort,42,STUDIO012,NA,RTXN00002964,return
2024-10-18,RET00000017,USER000094,LM-CAN-010,Ritual Grounding Candle,200ml,Eucalyptus Fresh,38,STUDIO011,EU,RTXN00000125,return
2024-10-18,RET00000364,USER001553,LM-MAG-004,Magnesium Recovery Balm,200ml,Lavender Calm,42,STUDIO048,EU,RTXN00002121,return
2024-10-18,RET00000367,USER001558,LM-KIT-009,PMS Comfort Kit,50ml,Unscented,65,STUDIO044,EU,RTXN00002132,return
2024-10-19,RET00000023,USER000118,LM-OIL-008,Warming Body Oil,Standard,Unscented,48,STUDIO032,NA,RTXN00000158,return
2024-10-19,RET00000476,USER002025,LM-CAN-010,Ritual Grounding Candle,Travel Size,Rose Comfort,38,STUDIO043,NA,RTXN00002787,return
2024-10-19,RET00000486,USER002076,LM-CAN-010,Ritual Grounding Candle,100ml,Lavender Calm,38,STUDIO039,EU,RTXN00002869,return
2024-10-19,RET00000526,USER002257,LM-MAG-004,Magnesium Recovery Balm,Standard,Citrus Energy,42,STUDIO046,NA,RTXN00003118,return
2024-10-20,RET00000172,USER000725,LM-MAG-004,Magnesium Recovery Balm,Standard,Rose Comfort,42,STUDIO046,EU,RTXN00000992,return
2024-10-20,RET00000344,USER001442,LM-ROL-012,Aromatherapy Roller,Travel Size,Eucalyptus Fresh,22,STUDIO032,NA,RTXN00001976,return
2024-10-21,RET00000488,USER002093,LM-WSH-007,Adaptogen Body Wash,100ml,Citrus Energy,36,STUDIO014,EU,RTXN00002893,return
2024-10-22,RET00000108,USER000487,LM-MST-005,Cooling Mist Spray,200ml,Citrus Energy,26,STUDIO035,NA,RTXN00000665,return
2024-10-22,RET00000528,USER002263,LM-MST-005,Cooling Mist Spray,100ml,Lavender Calm,26,STUDIO012,NA,RTXN00003126,return
2024-10-23,RET00000397,USER001671,LM-JRN-011,Movement Journal,Travel Size,Unscented,24,STUDIO035,NA,RTXN00002282,return
2024-10-23,RET00000435,USER001859,LM-JRN-011,Movement Journal,Standard,Rose Comfort,24,STUDIO013,NA,RTXN00002547,return
2024-10-23,RET00000553,USER002412,LM-SPF-002,SPF 50 Face Stick,Standard,Rose Comfort,28,STUDIO029,NA,RTXN00003341,return
2024-10-24,RET00000291,USER001255,LM-KIT-009,PMS Comfort Kit,Standard,Rose Comfort,65,STUDIO031,NA,RTXN00001715,return
2024-10-25,RET00000185,USER000779,LM-KIT-009,PMS Comfort Kit,50ml,Citrus Energy,65,STUDIO050,EU,RTXN00001065,return
2024-10-25,RET00000262,USER001109,LM-MAG-004,Magnesium Recovery Balm,Standard,Rose Comfort,42,STUDIO035,NA,RTXN00001521,return
2024-10-25,RET00000454,USER001941,LM-KIT-009,PMS Comfort Kit,100ml,Citrus Energy,65,STUDIO025,NA,RTXN00002657,return
2024-10-26,RET00000542,USER002323,LM-WSH-007,Adaptogen Body Wash,100ml,Rose Comfort,36,STUDIO013,NA,RTXN00003218,return
2024-10-27,RET00000337,USER001423,LM-CLO-003,Cleansing Body Cloths,Travel Size,Unscented,18,STUDIO033,EU,RTXN00001949,return
2024-10-28,RET00000226,USER000974,LM-ROL-012,Aromatherapy Roller,Travel Size,Lavender Calm,22,STUDIO046,EU,RTXN00001331,return
2024-10-28,RET00000297,USER001283,LM-DEO-001,Clean Deodorant Stick,Travel Size,Eucalyptus Fresh,24,STUDIO002,EU,RTXN00001749,return
2024-10-28,RET00000343,USER001437,LM-CAN-010,Ritual Grounding Candle,200ml,Unscented,38,STUDIO032,EU,RTXN00001969,return
2024-10-28,RET00000422,USER001802,LM-MAG-004,Magnesium Recovery Balm,Travel Size,Unscented,42,STUDIO040,EU,RTXN00002459,return
2024-10-28,RET00000480,USER002039,LM-CLO-003,Cleansing Body Cloths,50ml,Lavender Calm,18,STUDIO049,EU,RTXN00002811,return
2024-10-29,RET00000033,USER000170,LM-CLO-003,Cleansing Body Cloths,200ml,Eucalyptus Fresh,18,STUDIO020,EU,RTXN00000228,return
2024-10-30,RET00000218,USER000946,LM-JRN-011,Movement Journal,100ml,Eucalyptus Fresh,24,STUDIO010,NA,RTXN00001293,return
2024-10-30,RET00000290,USER001245,LM-WSH-007,Adaptogen Body Wash,50ml,Rose Comfort,36,STUDIO040,NA,RTXN00001704,return
2024-10-30,RET00000292,USER001256,LM-WSH-007,Adaptogen Body Wash,200ml,Rose Comfort,36,STUDIO025,NA,RTXN00001716,return
2024-10-31,RET00000119,USER000529,LM-KIT-009,PMS Comfort Kit,Travel Size,Lavender Calm,65,STUDIO009,NA,RTXN00000722,return
2024-10-31,RET00000511,USER002202,LM-SPF-002,SPF 50 Face Stick,Standard,Eucalyptus Fresh,28,STUDIO021,NA,RTXN00003039,return
2024-11-01,RET00000058,USER000256,LM-CLO-003,Cleansing Body Cloths,50ml,Unscented,18,STUDIO005,EU,RTXN00000342,return
2024-11-01,RET00000071,USER000308,LM-CAN-010,Ritual Grounding Candle,200ml,Citrus Energy,38,STUDIO004,EU,RTXN00000414,return
2024-11-01,RET00000559,USER002444,LM-ROL-012,Aromatherapy Roller,200ml,Unscented,22,STUDIO001,NA,RTXN00003386,return
2024-11-02,RET00000059,USER000258,LM-DEO-001,Clean Deodorant Stick,Travel Size,Unscented,24,STUDIO022,NA,RTXN00000345,return
2024-11-02,RET00000070,USER000301,LM-OIL-008,Warming Body Oil,Travel Size,Citrus Energy,48,STUDIO022,NA,RTXN00000404,return
2024-11-02,RET00000231,USER000988,LM-SOK-006,Muscle Soak Salts,100ml,Lavender Calm,32,STUDIO009,EU,RTXN00001351,return
2024-11-02,RET00000501,USER002146,LM-SPF-002,SPF 50 Face Stick,50ml,Citrus Energy,28,STUDIO019,EU,RTXN00002967,return
2024-11-02,RET00000560,USER002446,LM-ROL-012,Aromatherapy Roller,Travel Size,Eucalyptus Fresh,22,STUDIO043,EU,RTXN00003388,return
2024-11-03,RET00000048,USER000220,LM-SOK-006,Muscle Soak Salts,200ml,Unscented,32,STUDIO029,NA,RTXN00000293,return
2024-11-03,RET00000307,USER001307,LM-SPF-002,SPF 50 Face Stick,200ml,Lavender Calm,28,STUDIO012,EU,RTXN00001784,return
2024-11-04,RET00000069,USER000296,LM-JRN-011,Movement Journal,Travel Size,Lavender Calm,24,STUDIO033,EU,RTXN00000397,return
2024-11-04,RET00000195,USER000814,LM-CAN-010,Ritual Grounding Candle,Standard,Lavender Calm,38,STUDIO041,EU,RTXN00001112,return
2024-11-05,RET00000068,USER000293,LM-CAN-010,Ritual Grounding Candle,50ml,Lavender Calm,38,STUDIO033,EU,RTXN00000393,return
2024-11-05,RET00000322,USER001360,LM-MST-005,Cooling Mist Spray,100ml,Citrus Energy,26,STUDIO028,EU,RTXN00001854,return
2024-11-05,RET00000403,USER001719,LM-SOK-006,Muscle Soak Salts,Travel Size,Unscented,32,STUDIO033,NA,RTXN00002339,return
2024-11-06,RET00000012,USER000066,LM-MAG-004,Magnesium Recovery Balm,100ml,Eucalyptus Fresh,42,STUDIO049,EU,RTXN00000088,return
2024-11-06,RET00000078,USER000354,LM-KIT-009,PMS Comfort Kit,200ml,Eucalyptus Fresh,65,STUDIO014,NA,RTXN00000474,return
2024-11-06,RET00000294,USER001264,LM-CLO-003,Cleansing Body Cloths,100ml,Rose Comfort,18,STUDIO047,NA,RTXN00001726,return
2024-11-06,RET00000314,USER001330,LM-MST-005,Cooling Mist Spray,200ml,Lavender Calm,26,STUDIO016,NA,RTXN00001814,return
2024-11-06,RET00000540,USER002312,LM-DEO-001,Clean Deodorant Stick,Travel Size,Rose Comfort,24,STUDIO045,NA,RTXN00003201,return
2024-11-07,RET00000053,USER000239,LM-DEO-001,Clean Deodorant Stick,Standard,Rose Comfort,24,STUDIO024,NA,RTXN00000318,return
2024-11-07,RET00000129,USER000577,LM-SPF-002,SPF 50 Face Stick,50ml,Eucalyptus Fresh,28,STUDIO004,EU,RTXN00000789,return
2024-11-07,RET00000211,USER000925,LM-OIL-008,Warming Body Oil,Travel Size,Citrus Energy,48,STUDIO033,EU,RTXN00001263,return
2024-11-07,RET00000522,USER002243,LM-CAN-010,Ritual Grounding Candle,100ml,Rose Comfort,38,STUDIO002,EU,RTXN00003098,return
2024-11-08,RET00000382,USER001610,LM-SOK-006,Muscle Soak Salts,50ml,Unscented,32,STUDIO028,NA,RTXN00002201,return
2024-11-08,RET00000389,USER001649,LM-CAN-010,Ritual Grounding Candle,50ml,Lavender Calm,38,STUDIO036,EU,RTXN00002255,return
2024-11-09,RET00000529,USER002266,LM-JRN-011,Movement Journal,100ml,Eucalyptus Fresh,24,STUDIO021,NA,RTXN00003132,return
2024-11-10,RET00000304,USER001300,LM-ROL-012,Aromatherapy Roller,100ml,Eucalyptus Fresh,22,STUDIO007,EU,RTXN00001772,return
2024-11-11,RET00000155,USER000661,LM-CAN-010,Ritual Grounding Candle,Travel Size,Lavender Calm,38,STUDIO030,NA,RTXN00000910,return
2024-11-11,RET00000235,USER001001,LM-DEO-001,Clean Deodorant Stick,100ml,Eucalyptus Fresh,24,STUDIO044,EU,RTXN00001367,return
2024-11-11,RET00000247,USER001063,LM-CLO-003,Cleansing Body Cloths,Travel Size,Rose Comfort,18,STUDIO026,EU,RTXN00001458,return
2024-11-12,RET00000193,USER000802,LM-ROL-012,Aromatherapy Roller,Standard,Citrus Energy,22,STUDIO033,EU,RTXN00001099,return
2024-11-12,RET00000240,USER001027,LM-OIL-008,Warming Body Oil,50ml,Eucalyptus Fresh,48,STUDIO049,NA,RTXN00001402,return
2024-11-13,RET00000003,USER000008,LM-OIL-008,Warming Body Oil,Travel Size,Eucalyptus Fresh,48,STUDIO027,NA,RTXN00000014,return
2024-11-13,RET00000038,USER000203,LM-JRN-011,Movement Journal,Travel Size,Unscented,24,STUDIO046,EU,RTXN00000267,return
2024-11-14,RET00000345,USER001447,LM-DEO-001,Clean Deodorant Stick,200ml,Unscented,24,STUDIO016,NA,RTXN00001983,return
2024-11-15,RET00000031,USER000162,LM-WSH-007,Adaptogen Body Wash,Travel Size,Eucalyptus Fresh,36,STUDIO033,EU,RTXN00000215,return
2024-11-15,RET00000054,USER000243,LM-CAN-010,Ritual Grounding Candle,Travel Size,Rose Comfort,38,STUDIO042,NA,RTXN00000323,return
